geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
Jadranska Hrvatska,:,,:,,:,,:,,:,,:,,14.5,,13.5,,9.8,,8.2,,7.6,,:,
Kontinentalna Hrvatska,:,,:,,:,,:,,:,,:,,14.8,,14.1,,15.7,,14.6,,11.7,,:,
Italy,7,,7.5,,7.3,,7.4,,11.1,,14.5,,12.3,,11.6,,11.5,,12.1,,10.1,,:,
Nord-Ovest,3.4,,3.2,,4.6,,3.5,,6.7,,9.4,,8,,8.1,,7,,7.4,,7.3,,:,
Piemonte,4.6,,3.3,,5.7,,4.7,,7.8,,7.3,,5,,5.3,,6.6,,10.2,,9,,:,
Valle d'Aosta/Vallée d'Aoste,0.9,,1.7,,1.5,,2.2,,4.9,,8.3,,9.2,,9.4,,9.4,,7.3,,7.3,,:,
Liguria,2.3,,3.5,,1.6,,2.7,,6.8,,8.6,,8.1,,12.7,,11.6,,7.9,,8.6,,:,
Lombardia,3,,3.1,,4.7,,3.2,,6.3,,10.5,,9.2,,8.5,,6.4,,6.1,,6.4,,:,
Nord-Est,3.3,,3,,3.5,,3.8,,5.1,,5.7,,6,,5.8,,4.8,,5.8,,5,,:,
Provincia Autonoma di Bolzano/Bozen,2.5,,2.2,,1.4,,1.5,,1.6,,4,,2.2,,3.3,,5.3,,2.4,,2.5,,:,
Provincia Autonoma di Trento,0.7,,1.9,,1.1,,3.6,,2.5,,6.2,,4.8,,2.8,,5.1,,9.9,,5.9,,:,
Veneto,3.4,,2.9,,3.9,,4.1,,4.1,,4.2,,3.8,,4.7,,3.6,,5,,4.1,,:,
Friuli-Venezia Giulia,4.1,,3.8,,4,,2.5,,6.5,,6.4,,6.6,,7.2,,4.9,,6.5,,6,,:,
Emilia-Romagna,3.3,,3.2,,3.5,,4.2,,6.6,,7.3,,8.9,,7.3,,5.9,,6.3,,5.9,,:,
Centro (IT),4.7,,5,,4.9,,5.5,,7.3,,10.1,,6.8,,7.4,,8.4,,8.7,,7.9,,:,
Toscana,3.8,,3.9,,3.8,,5.1,,7.8,,9.3,,4.8,,7.3,,8.9,,7,,6.8,,:,
Umbria,2.7,,3.2,,4.3,,4.1,,5.7,,10,,8.6,,5.2,,10.4,,8.5,,6.1,,:,
Marche,4.4,,4,,4,,4.9,,10.6,,10.5,,9.4,,9.5,,10.8,,9.4,,11,,:,
Lazio,5.8,,6.2,,6.1,,6.2,,6.2,,10.6,,7.1,,7.3,,7.2,,9.5,,8,,:,
Sud,12.3,,13.6,,10.9,,11.8,,18.9,,23.9,,21,,18.3,,18.6,,20.8,,16,,:,
Abruzzo,5.3,,4.9,,4.9,,5.4,,13.2,,8.1,,8.6,,9.5,,11.1,,15.1,,15.6,,:,
Molise,6.7,,3.5,,4.2,,7.5,,12.1,,10,,18.9,,8.9,,9.9,,6.4,,9.1,,:,
Campania,14.3,,16.6,,12.2,,13.9,,18.3,,21.8,,21.9,,18.7,,16.3,,25.9,,18.6,,:,
Puglia,12.8,,14.8,,11.9,,11.5,,20.4,,34,,24.7,,23.2,,26.9,,19.8,,15.1,,:,
Basilicata,7.7,,11.7,,10.3,,9.3,,24.3,,23.5,,20.7,,15.1,,14,,14,,8.4,,:,
Calabria,12,,10,,10.5,,11.6,,20.9,,22.2,,19.7,,15.6,,15.7,,16,,13.9,,:,
Isole,14.6,,16.6,,16.5,,16.6,,21.8,,29.2,,25.1,,23.2,,24.2,,22,,17.5,,:,
Sicilia,16.7,,18,,18.5,,19.5,,25.7,,35.9,,28.9,,26,,27.3,,26.1,,20.3,,:,
Sardegna,8.5,,12.4,,10.5,,7.6,,10,,8.7,,13.6,,14.7,,14.5,,9.5,,9,,:,
Cyprus,13.3,,9.1,(b),9.5,,11.2,,11.7,,15,,16.1,,15.3,,15.4,,13.6,,11.5,,:,
Latvia,24,,19.3,(b),22.1,,27.6,,31,,25.6,,24,,19.2,,16.4,,12.8,,11.3,,9.5,
Lithuania,16.6,,12.5,(b),15.6,,19.9,,19,,19.8,,16,,13.6,,13.9,,13.5,,12.4,,:,
Luxembourg,0.8,,0.7,,1.1,,0.5,,1.2,,1.3,,1.8,,1.4,,2,,1.6,(b),1.2,,:,
Hungary,19.9,,17.9,,20.3,,21.6,,23.4,,26.3,,27.8,,24,,19.4,,16.2,,14.5,,10.1,
Közép-Magyarország,16.9,,15.6,,18.5,,20.7,,20.1,,23.4,,27.1,,23.6,,17.5,,14.1,,11.8,,7.3,
Budapest,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,6.8,
Pest,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,7.9,
