geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
Southern and Eastern (NUTS 2013),5,(b),6.5,,12.3,,14.5,,15.1,,:,,:,,:,,:,,:,,:,,:,
"Anatoliki Makedonia, Thraki",9.8,,8.8,,11.1,(b),14.5,,20.2,,22.8,,26.8,,24.2,,23.4,,22.8,,19.5,,15.9,
Kentriki Makedonia,9.1,,8.4,,10.1,(b),13.7,,19.7,,26.2,,30.2,,28.7,,26,,24.5,,22.9,,20.7,
Dytiki Makedonia,12.1,,12.5,,12.4,(b),15.4,,23.1,,29.7,,31.6,,27.6,,30.7,,31.3,,29.1,,27,
Ipeiros,10,,9.9,,11.2,(b),12.6,,16.5,,22.5,,27.4,,26.8,,24.5,,24.3,,24.8,,20.1,
Thessalia,7.8,,8.3,,9.2,(b),12.1,,16.8,,22.6,,25.4,,25.4,,26.9,,25.5,,20.6,,18.3,
Ionia Nisia,9,,8.3,,9.5,(b),14.6,,14.1,,14.7,,18.1,,21.4,,19,,16,,19.6,,15.9,
Dytiki Ellada,9.9,,9.9,,9.7,(b),11.9,,17.6,,25.6,,28.4,,28.7,,28.5,,29.8,,26.3,,24.1,
Sterea Ellada,9.4,,8.5,,10.5,(b),12.5,,19,,27.9,,28.2,,26.8,,25.8,,25,,20.8,,18.9,
Peloponnisos,7.3,,7,,7.9,(b),9.6,,13.8,,19.2,,21.9,,23.4,,22.3,,19.2,,16.8,,14.4,
Attiki,7.8,,6.7,,9.1,(b),12.6,,18,,25.8,,28.7,,27.3,,25.2,,23,,21.6,,19.9,
Voreio Aigaio,8.1,,4.7,,6.6,(b),9.4,,15,,21.8,,22,,22.3,,18,,18.3,,22.5,,22.3,
Notio Aigaio,9.4,,8.3,,12.3,(b),14.6,,15.2,,15.4,,21.3,,20.1,,14.9,,17.4,,16,,16.9,
Kriti,5.4,,6.4,,9,(b),12,,15.8,,22.3,,24.9,,24,,24.2,,22.6,,17.7,,13.4,
Galicia,7.6,,8.6,,12.4,,15.3,,17.3,,20.5,,22,,21.7,,19.3,,17.2,,15.7,,13.3,
Principado de Asturias,8.4,,8.5,,13.4,,15.9,,17.8,,21.8,,24.1,,21.1,,19.1,,17.6,,13.7,,13.6,
Cantabria,6,,7.2,,12,,13.7,,15.3,,17.8,,20.4,,19.4,,17.6,,14.9,,13.6,,10.7,
País Vasco,6.2,,6.6,,11.3,,10.7,,12.4,,15.6,,16.6,,16.3,,14.8,,12.6,,11.3,,10,
Comunidad Foral de Navarra,4.7,,6.8,,10.8,,11.9,,13,,16.2,,17.9,,15.7,,13.8,,12.5,,10.2,,10,
La Rioja,5.8,,7.9,,12.6,,14.1,,17.2,,20.6,,20,,18.2,,15.4,,13.5,,12,,10.4,
Aragón,5.3,,7.3,,13.1,,15,,17.1,,18.7,,21.4,,20.2,,16.3,,14.7,,11.6,,10.6,
Comunidad de Madrid,6.2,,8.6,,13.9,,15.8,,16.3,,18.5,,19.8,,18.7,,17.1,,15.7,,13.3,,12.2,
Castilla y León,7.1,,9.6,,14,,15.8,,16.9,,19.8,,21.7,,20.8,,18.3,,15.8,,14.1,,12.1,
Castilla-la Mancha,7.7,,11.7,,18.9,,21.2,,23.1,,28.6,,30,,29,,26.3,,23.5,,20.8,,18.2,
Extremadura,13,,15.4,,20.6,,23,,25.1,,33.1,,33.9,,29.8,,29.1,,27.5,,26.2,,23.6,
Cataluña,6.5,,8.9,,16.2,,17.7,,19.2,,22.5,,23.1,,20.3,,18.6,,15.7,,13.4,,11.5,
Comunidad Valenciana,8.7,,12,,20.8,,22.9,,24,,27.2,,28,,25.8,,22.8,,20.6,,18.2,,15.6,
Illes Balears,7.2,,10.2,,17.9,,20.1,,21.9,,23.2,,22.3,,20,,17.3,,13.9,,12.4,,11.5,
Andalucía,12.8,,17.7,,25.2,,27.8,,30.1,,34.4,,36.2,,34.8,,31.5,,28.9,,25.5,,23,
Región de Murcia,7.5,,12.4,,20.3,,22.9,,25,,27.6,,29,,26.6,,24.6,,19.8,,18,,16.8,
Ciudad Autónoma de Ceuta (ES),21,,17.4,,18.5,,23.9,,27.7,,37,,34.8,,31.9,,27.6,,24.9,,22.4,,29,
