CountryID;Country Name;WEBNAME;Region;World Rank;Region Rank;2016 Score;Change in Yearly Score from 2015;Property Rights;Change in Property Rights from 2015;Freedom from Corruption;Change in Freedom from Corruption from 2015;Fiscal Freedom ;Change in Fiscal Freedom from 2015;Gov't Spending;Change in Gov't Spending from 2015;Business Freedom;Change in Business Freedom from 2015;Labor Freedom;Change in Labor Freedom from 2015;Monetary Freedom;Change in Monetary Freedom from 2015;Trade Freedom;Change in Trade Freedom from 2015;Investment Freedom ;Change in Investment Freedom from 2015;Financial Freedom;Change in Financial Freedom from 2015;Tariff Rate (%);Income Tax Rate (%);Corporate Tax Rate (%);Tax Burden % of GDP;Gov't Expenditure % of GDP ;Country;Population (Millions);GDP (Billions, PPP);GDP Growth Rate (%);5 Year GDP Growth Rate (%);GDP per Capita (PPP);Unemployment (%);Inflation (%);FDI Inflow (Millions);Public Debt (% of GDP)
38;Congo, Republic of;RepublicCongo;Sub-Saharan Africa;172;44;42,8;0,1;10;0;23;1;66,9;-0,5;55,8;-4,9;35,9;-0,9;38,8;2,8;75,6;4;52;-10,4;40;10;30;0;16,5;45;34;11,2;38,4;Republic of Congo;4,3;$28,0 ;6;5,1;$6.559;6,5;0,9;5.502,30;42,3
39;Costa Rica;CostaRica;South and Central America / Caribbean;50;10;67,4;0,2;50;0;54;1;79,4;-0,6;88,7;-1,2;68,6;4,1;53,8;-0,8;77,6;1,8;81,6;-2,2;70;0;50;0;4,2;25;30;23,2;19,4;Costa Rica;4,8;$71,0 ;3,5;4,3;$14.864;8,3;3,2;2.105,90;39,8
40;Côte d'Ivoire;CoeDivoire;Sub-Saharan Africa;92;10;60;1,5;30;-5;32;5;78,3;0,6;85,4;3;62,2;-3,2;46,9;0,9;73,5;-1,5;71,8;0,4;70;15;50;0;6,6;36;25;15,7;22,1;Côte d'Ivoire;22,7;$71,1 ;7,5;4,9;$3.131;4;0,4;462;36,4
41;Croatia;Croatia;Europe;103;38;59,1;-2,4;35;-5;48;0;70,8;-4,1;33,7;-12,8;60,3;4,5;42,4;-0,4;78,7;-1,3;87,4;0,2;75;-5;60;0;1,3;40;20;30,4;47;Croatia;4,2;$88,5 ;-0,4;-1,1;$20.889;16,7;-0,2;3.451,20;80,9
42;Cuba;Cuba;South and Central America / Caribbean;177;29;29,8;0,2;10;0;46;0;52,1;-9,7;0;0;20;0;20;0;65,2;0,4;64,6;0,8;10;10;10;0;7,7;50;30;37,3;64,6;Cuba;11,2;$134,30 ;1,3; ;$11.950 ;;5,3;;32,1
43;Cyprus;Cyprus;Europe;42;19;68,7;0,8;70;0;63;0;76,1;-3,4;47,3;10,6;74,5;-5;58,2;-1,4;85,3;2,6;88;0;75;5;50;0;1;35;12,5;31,8;41,9;Cyprus;0,9;$27,4 ;-2,3;-1,7;$30.769;15,6;-0,3;679;107,1
44;Czech Republic;CzechRepublic;Europe;21;11;73,2;0,7;75;0;51;3;82,5;1;47,3;6,7;66,6;-1,6;77,7;-5,2;84,1;2,9;88;0;80;0;80;0;1;15;19;34,1;41,9;Czech Republic;10,5;$314,6 ;2;1;$29.925;6,2;0,4;5.908,50;41,6
45;Denmark;Denmark;Europe;12;5;75,3;-1;95;0;92;1;39,5;-0,1;2,3;0,5;95,4;-2;86;-6,1;84,4;-3,2;88;0;90;0;80;0;1;56;23,5;48,6;57,1;Denmark;5,6;$249,5 ;1;0,5;$44.343;6,6;0,6;3.651,90;42,6
46;Djibouti;Djibouti;Sub-Saharan Africa;124;24;56;-1,5;25;0;34;-2;80,6;-0,6;57,4;0,3;50,8;-4,6;62,9;-3,7;74,3;-4,6;54,6;-0,2;70;0;50;0;17,7;30;25;20,3;37,7;Djibouti;0,9;$2,9 ;6;4,8;$3.051;60;2,9;153;44,6
47;Dominica;Dominica;South and Central America / Caribbean;53;11;67;0,9;60;0;58;0;74;0,4;68,5;7;73,3;1,7;68,7;0;90,1;0,6;72,6;-0,2;75;0;30;0;8,7;35;30;21,7;32,4;Dominica;0,1;$0,8 ;1,1;0;$10.800;;0,7;41,1;76,6
48;Dominican Republic;DominicanRepublic;South and Central America / Caribbean;88;17;61;0;25;-5;32;3;84,5;0,4;90,2;3,1;56,6;3,1;56,5;-1;73,1;-2,9;77,2;-0,6;75;0;40;0;6,4;25;27;13,9;18,1;Dominican Republic;10,6;$138,0 ;7,3;5,2;$13.012;15;3;2.208,30;35,1
49;Ecuador;Ecuador;South and Central America / Caribbean;159;25;48,6;-0,6;15;0;33;-2;79,2;0,1;41,8;-9,2;55,5;4,1;51,6;0,3;68,1;-0,1;71,4;0;30;0;40;0;4,3;35;22;19,3;44;Ecuador;16;$180,2 ;3,6;5;$11.244;4,6;3,6;773,9;29,8
50;Egypt;Egypt;Middle East / North Africa;125;12;56;0,8;20;0;37;5;85,6;-0,2;65,9;-2,1;68,3;2,9;51,4;-2,2;65,8;-1,6;70,6;0,6;55;5;40;0;9,7;25;25;13,9;33,7;Egypt;86,7;$943,1 ;2,2;2,7;$10.877;13,2;10,1;4.783,20;90,5
51;El Salvador;ElSalvador;South and Central America / Caribbean;63;12;65,1;-0,6;35;0;39;1;79,1;-0,3;85,3;-0,2;56;2,7;52,6;-0,7;83,4;0,9;85,8;0,6;75;0;60;-10;2,1;30;30;17,1;22,1;El Salvador;6,4;$50,9 ;2;1,8;$8.021;6,2;1,1;275;56,5
52;Equatorial Guinea;EquatorialGuinea;Sub-Saharan Africa;170;43;43,7;3,3;10;0;19;0;75,4;0;45,6;14,2;45,6;8,1;38,4;4,9;78,9;0,6;53,8;0;40;5;30;0;15,6;35;35;2,3;42,6;Equatorial Guinea;0,8;$25,1 ;-3,1;-0,2;$32.266;7,9;3;1.933,00;7,6
