Year,ISO Code,Countries,Region,HUMAN FREEDOM (Score),HUMAN FREEDOM (Rank),HUMAN FREEDOM (Quartile),Procedural Justice,Civil Justice,Criminal Justice,Rule of Law,Homicide,Homicide DATA,Disappearances,Violent Conflicts,Violent Conflicts DATA,Organised Conflicts,Terrorism Fatalities,Terrorism Fatalities DATA,Terrorism Injuries,Terrorism Injuries DATA,Disapperances, Conflicts, and Terrorism,Female Genital Mutilation,Missing Women,Inheritance Rights: Widows,Inheritance Rights: Daughters,Inheritance Rights,Women's Security & Safety,Security & Safety,Domestic Movement,Foreign Movement,Women's Movement,Movement,Establishing Religious Organizations,Operating Religious Organizations,Establishing and Operating Religious Organizations,Harassment and Physical Hostilities,Legal and Regulatory Restrictions,Religion,Association,Assembly,Establishing Political Parties,Operating Political Parties,Establishing and Operating Political Parties,Establishing Professional Organization,Operating Professional Organization,Establishing and Operating Professional Organization,Establishing Educational, Sporting and Cultural Organizations,Operating Educational, Sporting and Cultural Organizations,Establishing and Operating Educational, Sporting and Cultural Organizations,Association, Assembly, & Civil Society,Press Killed,Press Killed DATA,Press Jailed,Press Jailed DATA,Laws and Regulations that Influence Media Content,Political Pressures and Controls on Media Content,Access to Cable/Satellite,Access to Foreign Newspapers,State Control over Internet Access,Expression & Information,Legal Gender,Parental Authority: In Marriage,Parental Authority: After Divorce,Parental Rights,Male to Male Relationships,Female to Female Relationships,Same-Sex Relationships,Divorce,Identity & Relationships,PERSONAL FREEDOM (Score),PERSONAL FREEDOM (Rank),Government Consumption,Government Consumption DATA,Transfers and subsidies,Transfers and subsidies DATA,Government enterprises and investment,Government enterprises and investment DATA,Top marginal income tax rate,Top marginal income tax rate DATA,Top marginal income and payroll tax rate,Top marginal income and payroll tax rate DATA,Top marginal tax rate,Size of Government,Judicial independence,Impartial courts,Protection of property rights, Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Gender Adjustment,Legal System & Property Rights,Money growth,Money growth DATA,Standard deviation of inflation,Standard deviation of inflation DATA,Inflation: Most recent year,Inflation: Most recent year DATA,Freedom to own foreign currency bank accounts,Sound Money, Revenue from trade taxes (% of trade sector), Revenue from trade taxes (% of trade sector) DATA,Mean tariff rate,Mean tariff rate DATA,Standard deviation of tariff rates,Standard deviation of tariff rates DATA,Tariffs, Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Bureaucracy costs,"Starting
a  business",Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation,ECONOMIC FREEDOM (Score),ECONOMIC FREEDOM (Rank)
2016,BRA,Brazil,Latin America & the Caribbean,6,21,123,4,5,0,5,3,3,7,4,7,0,0,29,5,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,10,0,10,0,5,0,5,0,5,0,8,3,6,1,10,0,10,0,10,0,10,0,-,-,5,0,8,2,9,1,7,4,10,0,10,0,-,-,2,5,-,-,2,5,-,-,7,5,6,5,8,6,3,0,10,0,0,0,5,3,4,5,10,0,10,0,10,0,8,3,0,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,7,5,6,67,94,4,7,24,0,5,8,16,0,4,0,30,5,8,0,28,0,4,0
2016,BRN,Brunei Darussalam,South Asia,5,80,138,4,-,-,-,6,2,9,8,0,5,10,0,10,0,0,0,-,10,0,0,0,10,0,0,0,10,0,-,-,0,0,0,0,0,0,0,0,6,6,10,0,5,0,-,7,5,-,-,0,0,-,-,0,0,0,0,0,0,-,-,0,0,-,-,2,5,-,-,2,5,1,0,10,0,0,0,10,0,0,0,0,7,3,8,2,5,2,5,2,5,4,6,0,0,0,0,0,0,0,0,0,0,10,0,5,0,-,1,7,4,66,153,0,0,55,4,-,-,-,-,10,0,0,0,10,0,7,0,10,0,5,0,5,2,3,5,5,7,8,3
2016,BGR,Bulgaria,Eastern Europe,7,78,41,1,5,0,5,6,4,1,4,9,9,5,1,1,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,1,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,8,10,0,10,0,10,0,10,0,-,-,7,5,8,1,5,8,7,1,10,0,10,0,-,-,7,5,-,-,10,0,-,-,10,0,9,5,10,0,0,0,10,0,0,0,6,0,5,8,10,0,10,0,10,0,8,8,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,8,16,41,5,7,20,5,5,8,15,7,8,0,15,4,10,0,10,0,7,0
2016,BFA,Burkina Faso,Sub-Saharan Africa,6,75,88,3,5,1,4,9,4,5,4,9,9,9,0,4,10,0,10,0,0,0,7,5,9,3,2,1,9,8,1,0,9,3,2,4,10,0,5,0,5,0,5,0,5,8,8,3,10,0,10,0,5,0,8,3,-,-,7,5,8,1,8,4,8,0,7,5,7,5,-,-,7,5,-,-,7,5,-,-,7,5,7,5,10,0,0,0,10,0,0,0,4,7,7,0,7,5,7,5,7,5,7,7,-,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,7,46,63,3,1,29,4,10,0,0,2,2,0,47,1,9,0,25,0,4,0,42
2016,BDI,Burundi,Sub-Saharan Africa,5,17,154,4,-,-,-,3,0,7,6,6,0,5,0,10,0,0,0,2,5,7,7,7,0,6,0,20,2,6,2,10,0,7,5,5,0,0,0,2,5,6,7,6,8,0,0,0,0,5,0,1,7,-,-,5,0,9,3,8,1,7,5,0,0,0,0,-,-,2,5,-,-,2,5,-,-,2,5,1,5,10,0,0,0,10,0,0,0,1,7,0,8,0,0,0,0,0,0,3,2,-,5,0,10,0,7,5,0,0,0,0,0,0,10,0,5,8,4,41,156,6,0,19,7,10,0,0,5,2,0,47,2,8,0,30,0,5,0,38,0,6,5
2016,KHM,Cambodia,South Asia,7,20,61,2,3,0,2,0,2,7,2,6,9,3,1,8,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,10,0,10,0,10,0,10,0,10,0,10,0,9,6,10,0,10,0,10,0,10,0,-,-,10,0,8,6,6,2,8,3,10,0,7,5,-,-,5,0,-,-,5,0,-,-,10,0,7,5,10,0,0,0,10,0,0,0,2,0,3,3,10,0,10,0,10,0,7,9,-,10,0,10,0,10,0,10,0,10,0,10,0,5,0,8,3,7,24,72,9,9,6,4,9,7,1,6,2,0,47,6,10,0,20,0,10,0,20
2016,CMR,Cameroon,Sub-Saharan Africa,5,58,144,4,2,6,3,7,2,8,3,0,8,3,4,2,0,0,6,9,9,4,2,5,6,5,10,5,7,2,13,8,4,6,9,9,7,5,5,0,5,0,5,0,7,5,6,8,0,0,5,0,5,0,3,3,-,-,7,5,8,5,7,7,7,9,7,5,2,5,-,-,5,0,-,-,5,0,-,-,7,5,5,5,10,0,0,0,9,6,1,0,2,7,4,3,7,5,7,5,7,5,7,0,-,10,0,10,0,10,0,0,0,0,0,0,0,5,0,5,0,5,33,142,7,4,14,9,9,6,2,1,7,0,20,5,5,0,39,0,4,0,45
2016,CAN,Canada,North America,8,57,5,1,8,6,7,2,7,4,7,7,9,3,1,7,10,0,10,0,0,0,10,0,10,0,0,0,9,8,0,9,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,8,10,0,10,0,10,0,10,0,-,-,10,0,8,4,8,6,9,0,10,0,10,0,-,-,10,0,-,-,10,0,-,-,10,0,10,0,10,0,0,0,10,0,0,0,8,3,8,3,10,0,10,0,10,0,9,5,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,9,15,12,3,9,26,7,7,2,10,9,8,0,16,7,5,0,39-50,5,0,39-50
2016,CPV,Cape Verde,Sub-Saharan Africa,7,33,53,2,-,-,-,5,7,5,4,11,5,10,0,10,0,0,0,-,10,0,0,0,10,0,0,0,10,0,-,-,-,-,-,-,7,7,10,0,10,0,-,10,0,-,-,-,9,8,6,4,8,1,-,-,-,-,-,-,-,-,-,-,-,-,10,0,0,0,10,0,0,0,8,0,7,8,-,-,-,8,9,-,-,-,-,10,0,10,0,10,0,-,10,0,7,99,44,5,1,22,6,9,4,2,8,0,0,51,3,8,0,28,0,4,0,44,0,6,0,5,1,5,4,3,7,5,3,8,4,-,6,1,8,8,5,4,5,0,1,0,6
2016,CAF,Central Afr. Rep.,Sub-Saharan Africa,5,29,152,4,-,-,-,2,2,2,1,19,8,5,0,10,0,0,0,0,0,0,0,41,1,2,5,37,7,3,5,7,6,10,0,5,0,5,0,5,0,7,5,4,4,-,-,5,0,5,0,-,-,10,0,7,1,7,8,8,3,7,5,10,0,-,-,7,5,-,-,7,5,-,-,10,0,8,5,10,0,0,0,10,0,0,0,3,0,3,0,10,0,10,0,10,0,8,0,-,5,0,5,0,5,0,10,0,10,0,10,0,10,0,8,3,5,47,138,9,7,7,0,9,6,2,0,4,0,33,5,5,0,40,0,-,-,5,0,7,1,-,2
