geo\time,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Principado de Asturias,22900,,24500,,24300,,22300,,22400,,22100,,21800,,21200,,21700,,23000,,23100,(p),24500,(p)
Cantabria,23800,,25200,,24900,,23100,,22900,,22500,,22400,,21700,,22700,,23600,,24000,(p),25000,(p)
País Vasco,32100,,34000,,34000,,31600,,31700,,31500,,31800,,31400,,32800,,34600,,35100,(p),36300,(p)
Comunidad Foral de Navarra,31700,,33100,,32800,,30600,,30300,,30100,,29900,,29900,,31200,,32700,,33100,(p),34000,(p)
La Rioja,27300,,28700,,28300,,26300,,26400,,26000,,26000,,25800,,27100,,28500,,28200,(p),28800,(p)
Aragón,27500,,29400,,29000,,26900,,27000,,26700,,26400,,26600,,27500,,28500,,29200,(p),30400,(p)
Comunidad de Madrid,33900,,35600,,35000,,33200,,32600,,32800,,33100,,32900,,34100,,36100,,36500,(p),37200,(p)
Castilla y León,23400,,24800,,24400,,23000,,23000,,22900,,23000,,22500,,23200,,24600,,25100,(p),25800,(p)
Castilla-la Mancha,20500,,21700,,21400,,20000,,19800,,19500,,19400,,19100,,19300,,20600,,21000,(p),21800,(p)
Extremadura,16900,,18100,,18100,,17200,,17200,,16800,,16700,,16600,,17000,,18200,,18600,(p),19300,(p)
Cataluña,30100,,31600,,30800,,28700,,28600,,28200,,28300,,28200,,29600,,31400,,32000,(p),33100,(p)
Comunidad Valenciana,23300,,24300,,23800,,21800,,21600,,21300,,21000,,20900,,21900,,23100,,23500,(p),24300,(p)
Illes Balears,27800,,28700,,28000,,25700,,25400,,25100,,25300,,25000,,26100,,27600,,28300,(p),28900,(p)
Andalucía,19700,,20800,,20300,,18800,,18500,,18300,,18100,,17800,,18400,,19600,,19800,(p),20400,(p)
Región de Murcia,21300,,22400,,22200,,20300,,20200,,19700,,19800,,19700,,20200,,21800,,22000,(p),22700,(p)
Ciudad Autónoma de Ceuta (ES),21900,,22900,,22600,,21300,,20800,,20200,,19800,,20100,,20400,,21400,,21500,(p),21500,(p)
Ciudad Autónoma de Melilla (ES),21400,,21800,,21300,,20000,,19400,,18800,,18100,,18200,,18600,,19500,,19700,(p),19800,(p)
Canarias (ES),22900,,23800,,23100,,21200,,21200,,20900,,20700,,20400,,20900,,21900,,22100,(p),22700,(p)
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Île de France,:,,:,,:,,:,,:,,:,,:,,:,,:,,51500,,51600,(p),53100,(p)
Centre - Val de Loire,:,,:,,:,,:,,:,,:,,:,,:,,:,,25300,,25100,(p),25300,(p)
Bourgogne,:,,:,,:,,:,,:,,:,,:,,:,,:,,25300,,24800,(p),24800,(p)
Franche-Comté,:,,:,,:,,:,,:,,:,,:,,:,,:,,23200,,23000,(p),23500,(p)
Basse-Normandie,:,,:,,:,,:,,:,,:,,:,,:,,:,,24300,,24100,(p),24400,(p)
Haute-Normandie,:,,:,,:,,:,,:,,:,,:,,:,,:,,26600,,26200,(p),26500,(p)
Nord-Pas de Calais,:,,:,,:,,:,,:,,:,,:,,:,,:,,24800,,24700,(p),25000,(p)
Picardie,:,,:,,:,,:,,:,,:,,:,,:,,:,,23300,,22600,(p),22500,(p)
Alsace,:,,:,,:,,:,,:,,:,,:,,:,,:,,28000,,28000,(p),28800,(p)
Champagne-Ardenne,:,,:,,:,,:,,:,,:,,:,,:,,:,,26000,,25400,(p),25500,(p)
Lorraine,:,,:,,:,,:,,:,,:,,:,,:,,:,,23000,,22500,(p),22600,(p)
Pays de la Loire,:,,:,,:,,:,,:,,:,,:,,:,,:,,27400,,27400,(p),28100,(p)
Bretagne,:,,:,,:,,:,,:,,:,,:,,:,,:,,25700,,25700,(p),26500,(p)
Aquitaine,:,,:,,:,,:,,:,,:,,:,,:,,:,,26600,,26600,(p),27400,(p)
Limousin,:,,:,,:,,:,,:,,:,,:,,:,,:,,22900,,23300,(p),24100,(p)
Poitou-Charentes,:,,:,,:,,:,,:,,:,,:,,:,,:,,24800,,24400,(p),24900,(p)
Languedoc-Roussillon,:,,:,,:,,:,,:,,:,,:,,:,,:,,22800,,22700,(p),22900,(p)
Midi-Pyrénées,:,,:,,:,,:,,:,,:,,:,,:,,:,,28100,,28100,(p),28600,(p)
Auvergne,:,,:,,:,,:,,:,,:,,:,,:,,:,,24900,,24000,(p),23900,(p)
Rhône-Alpes,:,,:,,:,,:,,:,,:,,:,,:,,:,,30400,,30500,(p),31300,(p)
Provence-Alpes-Côte d'Azur,:,,:,,:,,:,,:,,:,,:,,:,,:,,28600,,28300,(p),28600,(p)
Corse,:,,:,,:,,:,,:,,:,,:,,:,,:,,24800,,24700,(p),25100,(p)
Guadeloupe,:,,:,,:,,:,,:,,:,,:,,:,,:,,20900,,21100,(p),21900,(p)
Martinique,:,,:,,:,,:,,:,,:,,:,,:,,:,,22800,,22600,(p),22700,(p)
Guyane,:,,:,,:,,:,,:,,:,,:,,:,,:,,15600,,15700,(p),14800,(p)
La Réunion,:,,:,,:,,:,,:,,:,,:,,:,,:,,20000,,20300,(p),20900,(p)
Mayotte,:,,:,,:,,:,,:,,:,,:,,:,,:,,9100,,9500,(p),10300,(p)
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Jadranska Hrvatska,14000,,15800,,16100,,14700,,14600,,14900,,15300,,15400,,15700,,16600,,17200,,17800,(e)
Kontinentalna Hrvatska,14600,,16000,,16700,,15500,,15400,,16000,,16300,,16300,,16600,,17600,,18200,,18900,(e)
Piemonte,29100,,30200,,29800,,27100,,28100,,28900,,28300,,28200,,28200,,29500,,30300,,30700,
Valle d'Aosta/Vallée d'Aoste,34100,,35300,,35800,,33300,,34900,,35600,,36400,,34200,,34200,,35000,,34900,,35700,
Liguria,29000,,31000,,31300,,29100,,29000,,29700,,29700,,29000,,29700,,30900,,31600,,32000,
Lombardia,34200,,35700,,36500,,33800,,35200,,35900,,35600,,34500,,35100,,36600,,37600,,38500,
Provincia Autonoma di Bolzano/Bozen,35700,,37400,,37800,,36500,,37600,,38700,,40600,,40300,,40600,,42300,,43100,,42900,
Provincia Autonoma di Trento,32800,,34600,,34300,,32700,,33300,,34000,,34200,,34300,,34400,,35200,,35700,,36600,
Veneto,30000,,31300,,30800,,28800,,29400,,30400,,30200,,29800,,30200,,31600,,32700,,33500,
Friuli-Venezia Giulia,28900,,30400,,29700,,27400,,28400,,29100,,28700,,28500,,28700,,30300,,30900,,31400,
Emilia-Romagna,32300,,33900,,33700,,30900,,31500,,32800,,32700,,32300,,32900,,34300,,35200,,35800,
Toscana,28100,,29400,,29200,,27800,,28000,,28700,,29000,,28300,,28900,,29900,,30600,,30900,
Umbria,25600,,26700,,26500,,24100,,24500,,24700,,24300,,23500,,23200,,24500,,24700,,24800,
Marche,26300,,27600,,26900,,25400,,25500,,26000,,25800,,25100,,25800,,26600,,27200,,27200,
Lazio,33600,,35100,,34400,,32800,,32900,,33400,,32400,,31000,,30800,,31600,,32900,,33200,
Abruzzo,22400,,23500,,23600,,22100,,22800,,23800,,24100,,23400,,23500,,24300,,24500,,25000,
Molise,21000,,22100,,21400,,20500,,20600,,20700,,20500,,18900,,18700,,19600,,20000,,20100,
Campania,17700,,18500,,18400,,17500,,17300,,17300,,17400,,16900,,17000,,17800,,18100,,18500,
Puglia,17200,,17800,,17400,,16600,,16900,,17300,,17700,,17100,,17200,,18000,,18400,,18700,
Basilicata,19000,,20100,,19900,,18500,,18400,,19100,,19300,,19600,,19000,,21200,,21200,,21400,
Calabria,16500,,17100,,17200,,16500,,16500,,16800,,16800,,16300,,16200,,16700,,17000,,17400,
Sicilia,17700,,18300,,18300,,17400,,17400,,17400,,17500,,17000,,16600,,17300,,17500,,17700,
Sardegna,19600,,20400,,20700,,19700,,19800,,20000,,20300,,19500,,19500,,20700,,20600,,20900,
