Extremadura,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Cataluña,31928,,38781,,37117,,34234,,35421,,38653,,38810,,38857,,40404,,41877,,46204,,49750
Comunidad Valenciana,13759,,14977,,15323,,13838,,14283,,14860,,13573,,14212,,14639,,15600,,18090,,20395
Illes Balears,27795,,29999,,29343,,27515,,27939,,30265,,30067,,30433,,31306,,32354,,36102,,38486
Andalucía,19598,,22210,,20752,,18592,,18936,,20243,,19035,,18568,,19635,,20807,,23763,,26566
Región de Murcia,1423,,1996,,1879,,1631,,1348,,1263,,1181,,1139,,1094,,1066,,1095,,1195
Ciudad Autónoma de Ceuta (ES),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Ciudad Autónoma de Melilla (ES),259,,327,,305,,286,,254,,278,,306,,280,,305,,310,,324,,318
Canarias (ES),30458,,30244,,29808,,26223,,27557,,31190,,29429,,29540,,31680,,32538,,36878,,39780
Île de France,78231,,85965,,86683,,82776,,83089,,87813,,88566,,90139,,92491,,95337,,97096,,101458
Centre - Val de Loire,104,,89,,94,,112,,:,,:,,167,,180,,183,,188,,200,,189
Bourgogne,10,,14,,14,,:,,:,,:,,:,,:,,:,,:,,:,,:
Franche-Comté,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Basse-Normandie,140,,195,,197,,166,,:,,:,,:,,:,,:,,:,,:,,:
Haute-Normandie,65,,89,,74,,68,,:,,:,,:,,:,,:,,:,,:,,:
Nord-Pas de Calais,835,,1037,,1012,,1134,,1149,,1143,,1366,,1646,,1572,,1520,,1772,,1899
Picardie,1850,,2155,,2485,,2592,,2931,,3677,,3863,,3952,,4023,,4329,,3997,,3646
Alsace,5217,,5981,,5581,,4934,,5128,,6043,,6483,,6994,,7653,,8203,,8344,,9055
Champagne-Ardenne,26,,4,,3,,3,,21,,51,,86,,99,,96,,81,,133,,:
Lorraine,331,,314,,262,,229,,233,,250,,256,,234,,240,,245,,223,,231
Pays de la Loire,2072,,2537,,2687,,2574,,2969,,3172,,3562,,3853,,4096,,4322,,4729,,5442
Bretagne,1685,,1893,,1871,,1732,,1596,,1585,,1672,,1626,,1610,,1665,,1758,,1869
Aquitaine,4861,,5337,,5665,,5260,,5522,,5981,,6307,,6592,,6865,,7234,,7777,,8278
Limousin,308,,413,,400,,369,,333,,335,,305,,298,,291,,292,,290,,309
Poitou-Charentes,271,,325,,344,,301,,190,,228,,235,,215,,211,,216,,220,,221
Languedoc-Roussillon,2321,,2436,,2458,,2367,,2114,,2430,,2432,,2639,,2660,,2718,,2894,,3106
Midi-Pyrénées,6385,,6714,,7137,,6866,,6778,,7384,,8077,,8054,,8002,,8020,,8451,,9670
Auvergne,582,,561,,540,,411,,366,,389,,375,,416,,416,,393,,396,,384
Rhône-Alpes,7080,,7965,,8617,,8358,,8377,,8886,,8904,,9053,,8942,,9141,,10017,,10761
Provence-Alpes-Côte d'Azur,16064,,17946,,17903,,17567,,17423,,18202,,19924,,20330,,20329,,20708,,21311,,22722
Corse,2316,,2497,,2650,,2780,,2827,,2934,,2988,,3211,,3338,,3440,,3657,,4010
Guadeloupe,1880,,2032,,2068,,1882,,1995,,2120,,1974,,2022,,2014,,2059,,2216,,2302
Martinique,1516,,1602,,1572,,1495,,1556,,1620,,1565,,1623,,1623,,1634,,1774,,1820
Guyane,370,,383,,384,,394,,416,,431,,416,,420,,430,,443,,493,,489
La Réunion,1633,,1613,,1678,,1776,,1911,,2084,,1998,,1981,,1991,,2058,,2085,,2252
Mayotte,:,,:,,:,,:,,:,,:,,:,,:,,301,,303,,320,,364
Jadranska Hrvatska,:,,:,,2822,,2801,,3084,,3206,,3555,,3864,,4145,,4425,,5161,,6249
Kontinentalna Hrvatska,:,,:,,2174,,1997,,2017,,2263,,2317,,2286,,2418,,2576,,2757,,3081
Piemonte,3131,,3483,,3397,,3208,,3541,,3921,,3740,,3435,,3650,,3779,,3938,,4186
Valle d'Aosta/Vallée d'Aoste,8,,11,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Liguria,990,,1106,,1191,,1119,,1272,,1394,,1369,,1295,,1259,,1354,,1261,,1241
Lombardia,33262,,39427,,34940,,32984,,34826,,36587,,36400,,35725,,36400,,38483,,40116,,43879
Provincia Autonoma di Bolzano/Bozen,63,,74,,64,,51,,54,,59,,37,,:,,:,,:,,:,,:
Veneto,9626,,11972,,11853,,11472,,11958,,12978,,13635,,13230,,13444,,13678,,15009,,16429
Friuli-Venezia Giulia,603,,738,,779,,692,,721,,854,,877,,848,,736,,738,,724,,778
Emilia-Romagna,4526,,5580,,5828,,5915,,6873,,7347,,7100,,6918,,7191,,7200,,8088,,8679
Toscana,3890,,5617,,5866,,5676,,5773,,6403,,6322,,6435,,6838,,7201,,7480,,7871
Umbria,:,,:,,:,,118,,108,,171,,196,,212,,204,,280,,218,,247
Marche,461,,488,,403,,420,,504,,597,,553,,494,,472,,515,,477,,477
Lazio,31996,,37753,,39558,,38172,,40486,,42146,,41201,,40655,,43234,,46034,,46936,,46692
Abruzzo,336,,365,,396,,408,,456,,545,,559,,542,,553,,610,,569,,665
Campania,4552,,5723,,5629,,5289,,5536,,5728,,5758,,5400,,5891,,6132,,6754,,8552
Puglia,2423,,3305,,3493,,3954,,5045,,5811,,5860,,5574,,5822,,6201,,6628,,6984
Calabria,1155,,1983,,1984,,2074,,2377,,2813,,2769,,2733,,2917,,2823,,3013,,2951
Sicilia,9367,,11186,,11064,,11444,,12453,,13300,,12427,,12722,,13854,,14038,,15284,,16749
Sardegna,4934,,5621,,5995,,6378,,6363,,6988,,6935,,7101,,7350,,7602,,7569,,8313
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Kypros,6782,,7004,,7218,,6730,,6948,,7190,,7328,,7011,,7329,,7591,,8962,,10239
Latvija,1872,,3156,,3687,,4063,,4656,,5098,,4755,,4782,,4802,,5146,,5385,,6078
Sostines regionas,1279,,1714,,2042,,1306,,1370,,1709,,2206,,2657,,2940,,3333,,3811,,3759
Vidurio ir vakaru Lietuvos regionas,156,,482,,510,,562,,912,,983,,960,,825,,858,,895,,977,,1487
Luxembourg,1538,,1634,,1713,,1535,,1614,,1837,,1894,,2169,,2434,,2652,,2984,,3555
Budapest,7918,,8580,,8429,,8081,,8175,,8885,,8430,,8441,,9055,,10228,,11375,,13032
Észak-Alföld,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,285,,318
Malta,2757,,2971,,3110,,2919,,3294,,3507,,3650,,4032,,4290,,4620,,5080,,6008
Drenthe,127,,140,,152,,137,,124,,116,,182,,177,,171,,182,,154,,203
Noord-Holland,44077,,47757,,47404,,43532,,45146,,49690,,50988,,52543,,54957,,58168,,63550,,68422
Zuid-Holland,1021,,1068,,995,,927,,928,,1082,,1193,,1494,,1631,,1645,,1650,,1740
Noord-Brabant,980,,1451,,1675,,1745,,2190,,2670,,3009,,3430,,3961,,4378,,4784,,5705
Limburg (NL),307,,138,,235,,138,,232,,337,,309,,433,,244,,198,,180,,171
Niederösterreich,15802,,18719,,19687,,18045,,19617,,21106,,22196,,22041,,22473,,22740,,23318,,24333
Kärnten,520,,465,,430,,409,,427,,378,,277,,256,,226,,230,,195,,216
Steiermark,860,,918,,982,,926,,964,,959,,915,,875,,889,,956,,984,,952
Oberösterreich,689,,730,,757,,641,,642,,660,,611,,545,,553,,523,,432,,391
Salzburg,1657,,1913,,1784,,1534,,1613,,1696,,1663,,1667,,1823,,1829,,1749,,1895
Tirol,725,,840,,953,,943,,1025,,996,,930,,981,,988,,1001,,1011,,1090
Malopolskie,:,,3076,,2924,,2659,,2839,,2994,,3409,,3633,,3808,,4209,,4975,,5829
