geo\time,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Ciudad Autónoma de Ceuta (ES),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Ciudad Autónoma de Melilla (ES),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Canarias (ES),257,,217,,217,,217,,217,,219,,233,,233,,239,,246,,253,,271,
Île de France,610,,607,,605,,605,,605,,613,,613,,613,,613,,613,,613,,614,
Centre - Val de Loire,794,,884,,884,,983,,983,,982,,982,,982,,981,,981,,981,,980,
Bourgogne,686,,686,,686,,685,,685,,686,,683,,683,,683,,683,,683,,683,
Franche-Comté,218,,218,,218,,218,,218,,218,,218,,218,,218,,218,,218,,218,
Basse-Normandie,239,,240,,255,,255,,284,,283,,287,,287,,297,,287,,287,,287,
Haute-Normandie,428,,428,,428,,427,,427,,427,,427,,427,,427,,443,,443,,442,
Nord-Pas de Calais,597,,597,,627,,627,,627,,627,,627,,627,,627,,627,,626,,626,
Picardie,551,,550,,550,,550,,550,,550,,550,,550,,551,,551,,551,,551,
Alsace,302,,301,,301,,301,,302,,302,,302,,302,,302,,300,,300,,300,
Champagne-Ardenne,502,,503,,503,,503,,516,,516,,516,,515,,515,,515,,515,,522,
Lorraine,465,,465,,465,,462,,462,,462,,462,,462,,462,,462,,462,,462,
Pays de la Loire,705,,719,,746,,745,,746,,748,,748,,748,,747,,747,,747,,747,
Bretagne,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,
Aquitaine,627,,628,,628,,635,,785,,785,,785,,875,,785,,876,,887,,886,
Limousin,263,,263,,263,,274,,274,,274,,274,,274,,274,,279,,279,,279,
Poitou-Charentes,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,
Languedoc-Roussillon,532,,531,,536,,546,,561,,563,,563,,563,,568,,568,,568,,568,
Midi-Pyrénées,654,,654,,652,,652,,653,,652,,652,,652,,653,,653,,653,,652,
Auvergne,371,,370,,380,,380,,380,,380,,380,,380,,380,,393,,393,,393,
Rhône-Alpes,1201,,1211,,1211,,1211,,1230,,1245,,1244,,1294,,1294,,1300,,1300,,1300,
Provence-Alpes-Côte d'Azur,754,,753,,754,,754,,754,,750,,750,,750,,754,,754,,759,,759,
Corse,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Guadeloupe,:,,:,,:,,:,,:,,:,,:,,:,,0,,0,,0,,0,
Martinique,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Guyane,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
La Réunion,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Mayotte,:,,:,,:,,:,,:,,:,,:,,:,,0,,0,,0,,0,
Jadranska Hrvatska,525,,562,,603,,604,,604,,613,,613,,648,,650,,650,,650,,650,
Kontinentalna Hrvatska,556,,594,,596,,640,,640,,640,,640,,640,,640,,660,,660,,660,
Piemonte,817,,817,,817,,817,,821,,821,,821,,821,,821,,829,,830,,830,
Valle d'Aosta/Vallée d'Aoste,114,,114,,114,,114,,114,,114,,114,,114,,114,,114,,114,,114,
Liguria,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,
Lombardia,576,,576,,587,,587,,589,,589,,604,,621,,679,,706,,708,,708,
Provincia Autonoma di Bolzano/Bozen,187,,211,,211,,211,,212,,212,,212,,212,,212,,212,,212,,212,
Provincia Autonoma di Trento,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Veneto,485,,485,,493,,525,,525,,525,,556,,556,,576,,590,,588,,588,
Friuli-Venezia Giulia,210,,210,,210,,210,,210,,210,,210,,210,,210,,210,,210,,210,
Emilia-Romagna,568,,568,,568,,568,,568,,568,,568,,568,,568,,571,,572,,572,
Toscana,424,,424,,436,,436,,436,,436,,448,,448,,448,,463,,462,,462,
Umbria,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,
Marche,168,,168,,168,,168,,168,,168,,168,,168,,168,,168,,168,,168,
Lazio,470,,470,,470,,470,,470,,470,,470,,470,,485,,497,,498,,498,
Abruzzo,352,,352,,352,,352,,352,,352,,352,,352,,352,,355,,355,,355,
Molise,36,,36,,36,,36,,36,,36,,36,,36,,36,,36,,36,,36,
Campania,442,,442,,442,,442,,442,,442,,442,,442,,442,,443,,444,,444,
Puglia,313,,313,,313,,313,,313,,313,,313,,313,,313,,313,,313,,313,
Basilicata,29,,29,,29,,29,,29,,29,,29,,29,,29,,29,,30,,30,
Calabria,295,,295,,295,,295,,295,,295,,295,,295,,295,,295,,288,,288,
Sicilia,634,,644,,654,,654,,654,,654,,654,,662,,662,,678,,681,,681,
Sardegna,:,,:,,:,,:,,:,,:,,:,,:,,:,(z),:,,:,,:,
Kypros,257,,257,,257,,257,,257,,257,,257,,257,,257,,272,,272,,257,
