geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018
Cataluña,36.8,,36.4,,36.8,,37.7,,38.8,(b),39.1,,40.8,,43.4,(b),44.1,,45.1,,46.4,,47.7
Comunidad Valenciana,33.2,,33.3,,33,,34.5,,35.6,(b),35.7,,36.3,,37.2,(b),38.5,,39.6,,39.7,,41.8
Illes Balears,28.2,,26.4,,26.9,,27.5,,29,(b),29.8,,32.4,,33.8,(b),33.4,,34.2,,36.2,,35.2
Andalucía,31.7,,31.3,,31.1,,31.9,,31.3,(b),31.4,,32,,32.7,(b),33.8,,34.6,,35.3,,36.6
Región de Murcia,29.6,,30.6,,30,,30.4,,31.9,(b),31.8,,33.6,,32.5,(b),34.1,,34.4,,34.8,,36.3
Ciudad Autónoma de Ceuta (ES),24.4,,28.9,,31.1,,27.3,,25.1,(b),26.7,,27.6,,27.7,(b),34.6,,36,,33.6,,33.3
Ciudad Autónoma de Melilla (ES),30,,29.9,,32.4,,29.9,,33.1,(b),33.7,,32.6,,34.6,(b),33.4,,32.4,,34.4,,34.4
Canarias (ES),31.2,,29.5,,29.7,,29.4,,29.3,(b),30.9,,32.5,,31.8,(b),31.7,,35.3,,36.1,,36.6
Île de France,53.3,,54.6,,54.7,,54.4,,57.3,(b),57.7,,57.1,(b),57.9,,59.5,,60.4,,60.5,,61.5
Centre - Val de Loire,34.6,,37.2,,39.5,,40.2,,41.2,(b),42.2,,43,(b),41.9,,44.1,,44.8,,43.7,,45.4
Bourgogne,31,,33,,36.4,,34.6,,37.6,(b),40.8,,41.5,(b),42.2,,42.2,,42.9,,43.8,,44.7
Franche-Comté,33.1,,36.2,,35.7,,35.9,,38.6,(b),40.3,,43.1,(b),41.9,,40.2,,46,,48.6,,45.1
Basse-Normandie,35.3,,38.9,,37.2,,36.9,,38.7,(b),38.5,,40.5,(b),38.5,,40.9,,39.7,,37.7,,41.1
Haute-Normandie,35.6,,34.4,,34.8,,37.1,,40.2,(b),41.1,,40.5,(b),42.1,,43.6,,43.1,,42.9,,43.5
Nord-Pas de Calais,35.8,,36.5,,37.8,,39.7,,41.7,(b),43.7,,45.3,(b),44.7,,44,,44.3,,45.6,,47.5
Picardie,30,,34.4,,34.5,,33,,37,(b),36.7,,36.2,(b),35.8,,39.4,,38.3,,39.3,,43.7
Alsace,37.2,,41.2,,41.1,,43.5,,45.4,(b),44.1,,45.1,(b),45.3,,47.9,,48.4,,47.1,,47.6
Champagne-Ardenne,32.5,,31.9,,31.6,,32.5,,35.7,(b),37.1,,38.1,(b),37.3,,37.7,,37.7,,37.8,,41.8
Lorraine,34.7,,32.8,,34.6,,37.9,,40.2,(b),39.5,,44,(b),44.2,,44.9,,43.9,,44.6,,43.7
Pays de la Loire,35.2,,34.9,,37.5,,37.4,,41.4,(b),41.7,,42.6,(b),44.5,,46.5,,46.3,,46.6,,47.6
Bretagne,41.3,,40.2,,38.9,,39.8,,44.6,(b),46.2,,46.5,(b),46.5,,46.1,,46.3,,47.5,,48.4
Aquitaine,38.4,,39.4,,41.3,,43.1,,43.9,(b),43.8,,44.3,(b),46.6,,45.9,,45.7,,47.8,,49.6
Limousin,33.1,,34.7,,39,,36.6,,40.5,(b),42.4,,39.9,(b),40.4,,43.8,,46.5,,44.9,,45.2
Poitou-Charentes,32.2,,32.9,,33.4,,33.7,,37.5,(b),36.9,,38.6,(b),40.2,,39.3,,40.9,,43.3,,45.3
Languedoc-Roussillon,39.1,,39.6,,38.5,,38.2,,41.7,(b),41.5,,43.3,(b),45.2,,45.8,,46.5,,47.6,,46.9
Midi-Pyrénées,41.7,,43.6,,45.9,,46.6,,52.2,(b),52.5,,54.8,(b),54.7,,53.7,,52.4,,53,,58.4
Auvergne,33.7,,40.3,,40.5,,36,,37.9,(b),40.3,,40.7,(b),39.8,,41,,44.6,,41.2,,42.2
Rhône-Alpes,42.3,,42.3,,41.6,,42.6,,46.4,(b),47.3,,49.6,(b),51.7,,51.5,,52.8,,52.6,,53
Provence-Alpes-Côte d'Azur,36.1,,37.2,,38.7,,39,,45.1,(b),47.2,,48.4,(b),48.7,,49.2,,49.6,,50,,51
Corse,37.6,,30.9,,30.4,,31.2,,37.4,(b),44.4,,38.9,(b),38.6,,46.9,,50.7,,52.6,,40.8
Guadeloupe,20.5,,21.1,,22.5,,30.3,,32,(b),33.3,,33.2,(b),32.9,,33.7,,34.5,,35.7,,34
Martinique,20.7,,16.7,,20,,32.1,,33.2,(b),36.7,,34.5,(b),34.9,,37.8,,39.1,,39.2,,39.9
Guyane,22.4,,20.4,,21.9,,27.3,,31.2,(b),30.9,,34.3,(b),29.5,,31,,32.6,,35.6,,35.8
La Réunion,19.1,,19.7,,20.1,,26.9,,29.8,(b),31.5,,32.2,(b),31.7,,33.9,,34.6,,34.5,,35
Mayotte,:,,:,,:,,:,,:,,:,,29.7,(b),24.5,,22.7,,23.7,,24.4,,22.5
Jadranska Hrvatska,29.3,,29.9,,30.7,,32.8,(b),30.1,(b),31.3,,34.4,,34.2,(b),35.9,,34.2,,35.4,,38.1
Kontinentalna Hrvatska,25.2,,25.6,,27,,27.5,(b),27,(b),28.9,,31.7,,32.4,(b),33.2,,35.3,,36.3,,37.7
